"Nome comercial","Nome da oportunidade","Telefone principal","Instagram","Segmento","Fonte","Tags","Dor provavel","Gancho - Abordagem","Observacoes"
"Aro 20 Auto Car - Pneus em Barra Mansa","NUC x Aro 20 Auto Car - Pneus em Barra Mansa","+55 24 3328-3191","https://www.google.com/search?q=Aro+20+Auto+Car+-+Pneus+em+Barra+Mansa+Barra+Mansa+instagram","Automotivo - Pneus","Prospeccao Ativa","Barra Mansa","Cliente compra por preco e nao por confianca; concorrencia com grandes redes de pneus; vendas sazonais; dificuldade em fidelizar clientes para recapagem e manutencao.","A Aro 20 Auto Car - Pneus em Barra Mansa tem 104 avaliacoes em Barra Mansa. O segmento de pneus tem demanda constante e o cliente pesquisa preco e reputacao online antes de comprar. Quero mostrar como atrair mais clientes com presenca digital estrategica.","Empresa: Aro 20 Auto Car - Pneus em Barra Mansa | Cidade: Barra Mansa | Tipo: Pneus e Borracharia | Nota Google: 4.5 (104 avaliacoes) | Categorias: Comércio de Pneu, Serviço de alinhamento e balanceamento, Loja de rodas | Endereco: Rod. Pres. Getúlio Vargas, 2240 - Santa Clara, Barra Mansa - RJ, 27340-003, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"MAIS QUE VENCEDORA MECÂNICA E PNEUS","NUC x MAIS QUE VENCEDORA MECÂNICA E PNEUS","+55 24 99832-2230","https://www.google.com/search?q=MAIS+QUE+VENCEDORA+MEC%C3%82NICA+E+PNEUS+Barra+Mansa+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Barra Mansa","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","Vi que a MAIS QUE VENCEDORA MECÂNICA E PNEUS e referencia em auto pecas em Barra Mansa com 97 avaliacoes. O mercado de reposicao automotiva cresce 12% ao ano e quem investe em presenca digital atrai oficinas e clientes finais da regiao toda. Quero mostrar como potencializar isso.","Empresa: MAIS QUE VENCEDORA MECÂNICA E PNEUS | Cidade: Barra Mansa | Tipo: Auto Pecas | Nota Google: 4.8 (97 avaliacoes) | Categorias: Mecânica para carros, Loja de autopeças, Limpeza, Serviço de troca de óleo, Loja de peças para carros de corrida, Borracharia, Comércio de Pneu, Loja de peças automotivas usadas, Loja de pneus usados, Serviço de alinhamento e balanceamento | Endereco: Rod. Pres. Getúlio Vargas, 2476 - Santa Clara, Barra Mansa - RJ, 27340-002, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Diogo Maciel Auto Peças","NUC x Diogo Maciel Auto Peças","+55 24 3322-9546","https://www.google.com/search?q=Diogo+Maciel+Auto+Pe%C3%A7as+Barra+Mansa+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Barra Mansa","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","A Diogo Maciel Auto Peças tem nota 4.0 no Google - isso mostra confianca do cliente. Auto pecas que estruturam marketing digital conseguem atrair mecanicos, oficinas e consumidores finais alem do bairro. Quero apresentar como fazemos isso.","Empresa: Diogo Maciel Auto Peças | Cidade: Barra Mansa | Tipo: Auto Pecas | Nota Google: 4.0 (67 avaliacoes) | Categorias: Loja de autopeças | Endereco: R. Osório Gomes de Brito, 17 - Vila Nova, Barra Mansa - RJ, 27321-580, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Stop Car Centro Automotivo","NUC x Stop Car Centro Automotivo","+55 24 3323-7394","https://www.google.com/search?q=Stop+Car+Centro+Automotivo+Barra+Mansa+instagram","Automotivo - Auto Center","Prospeccao Ativa","Barra Mansa","Agenda com horarios ociosos; clientes so aparecem quando o carro quebra (nao tem preventivo agendado); dificuldade em mostrar diferenciais em relacao a concorrentes; depende de fluxo espontaneo.","Vi que a Stop Car Centro Automotivo tem nota 4.2 em Barra Mansa. Auto centers com boa reputacao online multiplicam o fluxo quando investem em posicionamento digital - clientes buscam no Google antes de levar o carro. Quero mostrar como.","Empresa: Stop Car Centro Automotivo | Cidade: Barra Mansa | Tipo: Auto Center | Nota Google: 4.2 (66 avaliacoes) | Categorias: Oficina mecânica | Endereco: Zap (24 - 93300.5995 - Verbo Divino, Barra Mansa - RJ, 27345-330, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Dúcar Auto Center","NUC x Dúcar Auto Center","+55 24 97401-3828","https://www.google.com/search?q=D%C3%BAcar+Auto+Center+Barra+Mansa+instagram","Automotivo - Auto Center","Prospeccao Ativa","Barra Mansa","Agenda com horarios ociosos; clientes so aparecem quando o carro quebra (nao tem preventivo agendado); dificuldade em mostrar diferenciais em relacao a concorrentes; depende de fluxo espontaneo.","A Dúcar Auto Center e um auto center bem avaliado em Barra Mansa (55 avaliacoes). Auto centers que investem em marketing digital atraem clientes de cidades vizinhas e fidelizam com agendamento online. Quero apresentar como funciona.","Empresa: Dúcar Auto Center | Cidade: Barra Mansa | Tipo: Auto Center | Nota Google: 4.7 (55 avaliacoes) | Categorias: Mecânica para carros | Endereco: Zap (24 - 93300.5995 - Centro, Barra Mansa - RJ, 27310-020, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Pneus Center","NUC x Pneus Center","+55 24 3401-0275","https://www.google.com/search?q=Pneus+Center+Barra+Mansa+instagram","Automotivo - Pneus","Prospeccao Ativa","Barra Mansa","Cliente compra por preco e nao por confianca; concorrencia com grandes redes de pneus; vendas sazonais; dificuldade em fidelizar clientes para recapagem e manutencao.","A Pneus Center tem 52 avaliacoes em Barra Mansa. O segmento de pneus tem demanda constante e o cliente pesquisa preco e reputacao online antes de comprar. Quero mostrar como atrair mais clientes com presenca digital estrategica.","Empresa: Pneus Center | Cidade: Barra Mansa | Tipo: Pneus e Borracharia | Nota Google: 4.3 (52 avaliacoes) | Categorias: Serviço de alinhamento e balanceamento | Endereco: Av. Min. Amaral Peixoto, 135 - Jardim Boa Vista - Bocaininha, Barra Mansa - RJ, 27350-370, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Kefas Autopeças - Unidade do Centro","NUC x Kefas Autopeças - Unidade do Centro","+55 24 99321-7377","https://www.google.com/search?q=Kefas+Autope%C3%A7as+-+Unidade+do+Centro+Barra+Mansa+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Barra Mansa","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","A Kefas Autopeças - Unidade do Centro tem nota 4.5 no Google - isso mostra confianca do cliente. Auto pecas que estruturam marketing digital conseguem atrair mecanicos, oficinas e consumidores finais alem do bairro. Quero apresentar como fazemos isso.","Empresa: Kefas Autopeças - Unidade do Centro | Cidade: Barra Mansa | Tipo: Auto Pecas | Nota Google: 4.5 (42 avaliacoes) | Categorias: Loja de autopeças, Atacadista de acessórios automotivos, Loja de acessórios automotivos, Loja de baterias de carro, Mecânica para carros | Endereco: Zap (24 - 93300.5995 - Centro, Barra Mansa - RJ, 27330-020, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Marcolan Auto Peças","NUC x Marcolan Auto Peças","+55 24 3324-7960","https://www.google.com/search?q=Marcolan+Auto+Pe%C3%A7as+Barra+Mansa+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Barra Mansa","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","Vi que a Marcolan Auto Peças e referencia em auto pecas em Barra Mansa com 40 avaliacoes. O mercado de reposicao automotiva cresce 12% ao ano e quem investe em presenca digital atrai oficinas e clientes finais da regiao toda. Quero mostrar como potencializar isso.","Empresa: Marcolan Auto Peças | Cidade: Barra Mansa | Tipo: Auto Pecas | Nota Google: 4.0 (40 avaliacoes) | Categorias: Loja de autopeças | Endereco: RODOVIA RJ 155, Rod. Pres. Getúlio Vargas, 2405 - Santa Clara, Barra Mansa - RJ, 27340-003, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Auto Peças Azoberte","NUC x Auto Peças Azoberte","+55 24 99831-3680","https://www.google.com/search?q=Auto+Pe%C3%A7as+Azoberte+Barra+Mansa+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Barra Mansa","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","A Auto Peças Azoberte tem nota 4.3 no Google - isso mostra confianca do cliente. Auto pecas que estruturam marketing digital conseguem atrair mecanicos, oficinas e consumidores finais alem do bairro. Quero apresentar como fazemos isso.","Empresa: Auto Peças Azoberte | Cidade: Barra Mansa | Tipo: Auto Pecas | Nota Google: 4.3 (37 avaliacoes) | Categorias: Loja de autopeças | Endereco: Av. Três de Outubro, 81 - Jardim Boa Vista, Barra Mansa - RJ, 27350-230, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"J SOUZA AUTO CENTER","NUC x J SOUZA AUTO CENTER","+55 24 98813-6698","https://www.instagram.com/jsouzaautocenter_","Automotivo - Auto Center","Prospeccao Ativa","Barra Mansa","Agenda com horarios ociosos; clientes so aparecem quando o carro quebra (nao tem preventivo agendado); dificuldade em mostrar diferenciais em relacao a concorrentes; depende de fluxo espontaneo.","A J SOUZA AUTO CENTER ja e referencia em Barra Mansa com 36 avaliacoes. Imagine atrair clientes de toda a regiao Sul Fluminense com uma estrategia digital que mostre seus diferenciais - quero apresentar como fazemos isso.","Empresa: J SOUZA AUTO CENTER | Cidade: Barra Mansa | Tipo: Auto Center | Nota Google: 4.9 (36 avaliacoes) | Categorias: Oficina mecânica, Mecânica para carros, Mecânico, Serviço de troca de óleo, Serviço de alinhamento e balanceamento | Endereco: Zap (24 - 93300.5995 - Colonia Santo Antonio, Barra Mansa - RJ, 27353-000, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Vip Car Auto Center","NUC x Vip Car Auto Center","+55 24 3029-3988","https://instagram.com/vipcar_carros?igshid=tdtmudfxjnem","Automotivo - Auto Center","Prospeccao Ativa","Barra Mansa","Agenda com horarios ociosos; clientes so aparecem quando o carro quebra (nao tem preventivo agendado); dificuldade em mostrar diferenciais em relacao a concorrentes; depende de fluxo espontaneo.","A Vip Car Auto Center ja e referencia em Barra Mansa com 36 avaliacoes. Imagine atrair clientes de toda a regiao Sul Fluminense com uma estrategia digital que mostre seus diferenciais - quero apresentar como fazemos isso.","Empresa: Vip Car Auto Center | Cidade: Barra Mansa | Tipo: Auto Center | Nota Google: 4.9 (36 avaliacoes) | Categorias: Mecânica para carros | Endereco: R. Candido Teodoro de Souza, 520 - Monte Cristo, Barra Mansa - RJ, 27343-040, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Centro Automotivo Bela Vista - Direção Hidráulica","NUC x Centro Automotivo Bela Vista - Direção Hidráulica","+55 24 99217-3035","https://www.google.com/search?q=Centro+Automotivo+Bela+Vista+-+Dire%C3%A7%C3%A3o+Hidr%C3%A1ulica+Barra+Mansa+instagram","Automotivo - Auto Center","Prospeccao Ativa","Barra Mansa","Agenda com horarios ociosos; clientes so aparecem quando o carro quebra (nao tem preventivo agendado); dificuldade em mostrar diferenciais em relacao a concorrentes; depende de fluxo espontaneo.","A Centro Automotivo Bela Vista - Direção Hidráulica e um auto center bem avaliado em Barra Mansa (34 avaliacoes). Auto centers que investem em marketing digital atraem clientes de cidades vizinhas e fidelizam com agendamento online. Quero apresentar como funciona.","Empresa: Centro Automotivo Bela Vista - Direção Hidráulica | Cidade: Barra Mansa | Tipo: Auto Center | Nota Google: 4.8 (34 avaliacoes) | Categorias: Oficina mecânica, Mecânica para carros, Serviço de reparos hidráulicos | Endereco: Zap (24 - 93300.5995 - Jardim Boa Vista, Barra Mansa - RJ, 27350-230, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Francis Auto Peças","NUC x Francis Auto Peças","+55 24 3323-8498","https://www.google.com/search?q=Francis+Auto+Pe%C3%A7as+Barra+Mansa+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Barra Mansa","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","A Francis Auto Peças tem nota 3.1 no Google - isso mostra confianca do cliente. Auto pecas que estruturam marketing digital conseguem atrair mecanicos, oficinas e consumidores finais alem do bairro. Quero apresentar como fazemos isso.","Empresa: Francis Auto Peças | Cidade: Barra Mansa | Tipo: Auto Pecas | Nota Google: 3.1 (27 avaliacoes) | Categorias: Loja de autopeças | Endereco: Zap (24 - 93300.5995 - Jardim Boa Vista, Barra Mansa - RJ, 27350-190, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
